right hip accuracy score,right hip latitude,right hip longitude,right ankle accuracy score,right ankle latitude,right ankle longitude,left shoulder accuracy score,left shoulder latitude,left shoulder longitude,right wrist accuracy score,right wrist latitude,right wrist longitude,right elbow accuracy score,right elbow latitude,right elbow longitude,right shoulder accuracy score,right shoulder latitude,right shoulder longitude,left ear accuracy score,left ear latitude,left ear longitude,left eye accuracy score,left eye latitude,left eye longitude,left hip accuracy score,left hip latitude,left hip longitude,nose accuracy score,nose latitude,nose longitude,left wrist accuracy score,left wrist latitude,left wrist longitude,left knee accuracy score,left knee latitude,left knee longitude,left ankle accuracy score,left ankle latitude,left ankle longitude,left elbow accuracy score,left elbow latitude,left elbow longitude,right ear accuracy score,right ear latitude,right ear longitude,right knee accuracy score,right knee latitude,right knee longitude,right eye accuracy score,right eye latitude,right eye longitude
0.8250787854194641,268.86267,300.23526,0.7579935193061829,480.0,312.52267,0.9951232075691223,176.03719,373.9197,0.7901995778083801,46.00705,283.25076,0.6548449993133545,103.47775,268.20932,0.9769658446311951,155.8416,302.86948,0.9553080797195435,119.636284,362.53427,0.9974687099456787,109.59418,350.45203,0.8023959994316101,284.9968,357.5611,0.9974687099456787,116.336174,341.50214,0.9375728964805603,297.59955,388.96988,0.7232865691184998,384.61755,350.09317,0.7153391242027283,478.0392,336.7843,0.9145805835723877,236.87215,384.1756,0.8531191349029541,115.85061,318.28152,0.8752303719520569,381.5277,307.04446,0.9966629147529602,107.202095,333.45956
0.8638855814933777,269.35486,300.49918,0.774118185043335,480.0,312.34778,0.9953597187995911,175.70563,374.29596,0.777389645576477,46.371956,282.73538,0.6672000885009766,103.00734,268.61084,0.9770191311836243,155.96883,302.2311,0.9540941715240479,119.76996,362.11575,0.9974687099456787,109.94356,350.4347,0.8890140056610107,285.42725,356.23288,0.9974687099456787,116.45442,341.1982,0.9383684992790222,297.5845,389.04898,0.8203026652336121,384.7856,354.53745,0.7067219018936157,476.86273,337.17648,0.9125668406486511,235.80783,384.12167,0.8725848197937012,115.96586,318.24524,0.9092687368392944,381.03897,306.8083,0.9966320395469666,107.6372,333.38864
0.9296790957450867,271.30167,300.63763,0.7537606954574585,479.712,312.5206,0.9956820011138916,176.08327,373.00275,0.7476464509963989,46.150105,282.45648,0.6602692008018494,102.97088,268.40305,0.9771080017089844,155.81015,302.1807,0.9541729688644409,119.1109,361.83344,0.9974687099456787,109.89911,350.06546,0.9145097732543945,281.73193,357.70102,0.9974687099456787,116.37644,341.0698,0.9523782134056091,298.0099,389.44208,0.8850152492523193,383.7225,338.64453,0.7040148377418518,476.86273,335.2157,0.919368326663971,235.59274,384.13644,0.8800418376922607,115.244835,317.95007,0.8717527389526367,382.0959,307.11536,0.9964106678962708,107.21956,333.06467
0.8628988265991211,266.62265,298.4973,0.7200936079025269,478.51642,312.77722,0.9949373006820679,176.10403,372.94537,0.7351931929588318,45.700603,282.48883,0.6414060592651367,102.82407,268.5238,0.9702790975570679,154.00587,302.52792,0.9563488364219666,119.466446,361.9108,0.9974687099456787,110.305626,350.11868,0.9371529817581177,283.0147,357.3614,0.997441291809082,116.247284,340.97876,0.9590485692024231,297.8273,389.32422,0.836841344833374,384.06992,332.67548,0.6385967135429382,475.68628,334.82352,0.9084234833717346,235.9802,384.5995,0.892928421497345,114.45725,317.91852,0.882621705532074,382.62448,306.81848,0.9959663152694702,107.17271,333.38812
0.9250768423080444,269.03625,299.80798,0.7537692189216614,479.52905,312.7327,0.9943397641181946,175.78078,372.65106,0.7336252927780151,46.026085,282.9138,0.6577425599098206,104.023285,268.0071,0.9736044406890869,154.34909,301.67612,0.9634235501289368,119.257774,361.39325,0.9974174499511719,111.45981,349.6978,0.9348494410514832,281.19443,357.05545,0.9974687099456787,117.42443,340.57242,0.9593855142593384,295.99576,389.26022,0.9176654815673828,384.7971,336.69293,0.6924795508384705,476.47058,334.0392,0.9055494666099548,235.31708,384.46893,0.9071077108383179,115.24353,317.89835,0.9300867915153503,383.14932,306.81412,0.9954774975776672,108.169464,333.0153
0.9643193483352661,272.1351,301.31967,0.72060626745224,478.6685,312.60886,0.9949551224708557,176.92926,372.96738,0.6780753135681152,46.61532,281.66843,0.6622025370597839,102.248184,266.31604,0.963104784488678,153.95834,299.12064,0.9692658185958862,119.38394,360.04376,0.9974430799484253,111.21268,348.3873,0.9556392431259155,280.60977,357.28598,0.9974687099456787,116.68354,338.9467,0.9483851790428162,293.94394,389.59363,0.9417049884796143,383.44577,339.52908,0.6395214796066284,475.68628,333.2549,0.9340609312057495,235.48535,384.00302,0.9377444386482239,114.69749,316.4151,0.9567887187004089,382.30917,306.99896,0.9957385063171387,107.51121,331.7607
0.9679168462753296,274.1141,303.17148,0.7107861638069153,478.42444,311.55313,0.9948142766952515,177.04858,372.38895,0.6803748607635498,45.770626,279.4678,0.6555092334747314,104.4882,266.20923,0.9605492353439331,153.53438,300.71613,0.959952712059021,118.669495,359.1328,0.9974687099456787,111.19856,347.32608,0.9478747248649597,280.0574,357.66373,0.9974687099456787,117.512764,337.73126,0.9539471864700317,294.59998,388.92926,0.903831958770752,382.58054,360.55978,0.6796625852584839,476.07843,337.17648,0.9458909034729004,235.59908,384.00073,0.9495169520378113,114.93962,315.3585,0.9469491839408875,383.10342,306.1558,0.9971151351928711,107.978455,329.9224
0.9487974643707275,272.9331,303.9555,0.7076394557952881,477.36343,311.99585,0.9960177540779114,175.8333,372.384,0.691007137298584,46.38651,277.0718,0.6516570448875427,104.70436,264.9467,0.9492861032485962,152.85817,300.7886,0.9711182713508606,118.19443,360.1397,0.9974687099456787,109.794426,347.34836,0.9059121608734131,275.92685,361.7021,0.9974687099456787,116.20185,337.0526,0.9231283664703369,292.4543,389.74326,0.779434323310852,386.04553,366.44882,0.2748907208442688,469.99435,364.22128,0.943953275680542,234.50638,383.77658,0.9357314705848694,114.506454,315.04947,0.8972524404525757,382.41693,306.59756,0.9971097111701965,105.411766,330.9804
0.8354325294494629,277.12375,308.50037,0.7290496230125427,475.96124,314.05786,0.9950917959213257,175.6471,377.0121,0.6821239590644836,49.080235,279.4984,0.6933297514915466,107.90607,267.61774,0.9737802147865295,155.0592,303.00787,0.9262199997901917,117.9854,362.7969,0.9974687099456787,108.681274,351.0979,0.8855252265930176,281.4179,354.55695,0.9974687099456787,115.45917,341.72906,0.8898423314094543,295.03885,395.06802,0.2725009322166443,379.0895,310.4061,0.6675766706466675,476.47058,312.549,0.9111512899398804,234.71014,390.1366,0.9323629140853882,115.18703,317.81378,0.8367522954940796,379.28455,310.80246,0.997401237487793,106.39631,333.78897
0.865536093711853,278.03333,312.52527,0.7202379107475281,477.94406,315.26758,0.9962994456291199,175.41254,381.60092,0.6857237219810486,48.84153,281.50272,0.6759461760520935,109.466156,269.78674,0.9686823487281799,156.0168,307.41364,0.954859733581543,116.498886,366.23776,0.9974687099456787,108.38807,354.1137,0.9057959318161011,284.47058,369.17648,0.9974687099456787,115.21498,344.21994,0.9395295977592468,293.11536,400.48053,0.6994129419326782,383.11072,372.26147,0.2401197850704193,467.31357,371.6941,0.9046559929847717,232.30174,392.55515,0.9263412356376648,113.82685,321.73294,0.8313933610916138,378.75443,312.50415,0.9974687099456787,106.2393,336.28433
