,left ankle accuracy score,left ankle latitude,left ankle longitude,left ear accuracy score,left ear latitude,left ear longitude,left elbow accuracy score,left elbow latitude,left elbow longitude,left eye accuracy score,left eye latitude,left eye longitude,left hip accuracy score,left hip latitude,left hip longitude,left knee accuracy score,left knee latitude,left knee longitude,left shoulder accuracy score,left shoulder latitude,left shoulder longitude,left wrist accuracy score,left wrist latitude,left wrist longitude,nose accuracy score,nose latitude,nose longitude,right ankle accuracy score,right ankle latitude,right ankle longitude,right ear accuracy score,right ear latitude,right ear longitude,right elbow accuracy score,right elbow latitude,right elbow longitude,right eye accuracy score,right eye latitude,right eye longitude,right hip accuracy score,right hip latitude,right hip longitude,right knee accuracy score,right knee latitude,right knee longitude,right shoulder accuracy score,right shoulder latitude,right shoulder longitude,right wrist accuracy score,right wrist latitude,right wrist longitude,target
429,0.25201550126075745,480.0,369.88312,0.9102277755737304,69.44265,340.6426,0.9418330192565918,204.2255,380.36725,0.9974687099456788,57.9197,328.45232999999996,0.6703017950057983,288.57043,353.32358,0.8246208429336548,422.58822999999995,369.17647999999997,0.9936729669570924,135.75066999999999,368.70422,0.7887672185897827,215.16669,368.65915,0.9974583983421326,65.51448,317.91092000000003,0.06941066682338715,480.0,278.7178,0.9775646328926086,65.91704,291.1336,0.983634352684021,199.85725,271.12872000000004,0.9974687099456788,56.712906000000004,307.42886,0.8776999115943909,259.82473999999996,292.81702,0.5584084391593933,413.3906,281.09555,0.9965206384658812,132.37132,270.5808,0.8174003362655641,218.08777,312.62195,2
430,0.23418447375297546,480.0,371.28927999999996,0.9405255913734436,68.531006,345.0711,0.8908129930496216,203.73266999999998,380.66222999999997,0.9974687099456788,57.03344,330.9345,0.7628974914550781,281.53687,360.52585,0.8142761588096619,420.2353,368.7843,0.9917830228805542,137.1352,371.11728,0.7598124742507935,216.2054,371.19962000000004,0.997459590435028,65.94726,320.10446,0.06293865293264389,480.0,279.4,0.9605457186698914,65.82276999999999,293.96506,0.9842315912246704,200.68253,272.17755,0.9974687099456788,57.00518,309.91675,0.8665782809257507,258.97446,292.3263,0.15664242208003998,391.6079,281.20346,0.9963043928146362,133.069,272.25906000000003,0.7773722410202026,219.66653,308.257,2
431,0.21166767179965973,480.0,370.41904,0.9131913781166076,68.83759,346.29135,0.8842771053314209,204.61682,380.9061,0.997452676296234,57.418040000000005,332.36502,0.8875041007995605,275.15063,360.12576,0.8078135251998901,417.17647999999997,368.7843,0.9914702773094176,136.78705,372.50973999999997,0.7059890031814575,220.07317,365.9076,0.9973996877670288,66.30691,321.5657,0.0640227273106575,480.0,277.62503,0.9675809741020204,65.13564000000001,294.97900000000004,0.9811521768569946,200.05482,271.52072000000004,0.9974687099456788,56.77729,311.4972,0.8624694943428041,260.42172,293.82407,0.2528746724128723,398.50208,282.16708,0.9955925345420836,134.29834,273.31363,0.6653590202331543,216.16267000000002,300.52423,2
432,0.2509756684303284,480.0,371.76122999999995,0.9341914057731628,68.14346,346.83975,0.8786068558692932,206.96786,380.7268,0.9974551796913148,57.277896999999996,332.8842,0.7946807146072388,283.47700000000003,359.77814,0.7821122407913208,419.84314000000006,370.35294,0.9908113479614258,136.0761,372.62903,0.6563884019851685,221.87286,362.54138,0.997365415096283,65.86556999999999,321.44785,0.062525175511837,480.0,280.59103,0.9634418487548828,64.39414000000001,296.224,0.9834770560264589,200.41742,270.82306,0.9974687099456788,56.53905,311.67657,0.8603781461715698,260.9478,294.12448,0.07187385112047195,384.35614,281.98584,0.9943853616714478,135.35835,274.1733,0.5431908965110779,216.22043,299.03665,2
433,0.1809501051902771,480.0,371.6565,0.959696352481842,67.83653000000001,346.20026,0.9477370977401732,204.98665,382.5162,0.9974687099456788,57.07724,331.34885,0.9305696487426758,259.5947,351.81113,0.6766328811645508,412.19852000000003,368.15564,0.9904345273971558,135.34964,372.80566,0.8240640163421631,221.45404,363.1908,0.9974282383918762,66.33791,320.3488,0.0749233141541481,480.0,278.55984,0.9575657248497008,63.896483999999994,295.4939,0.9861277341842652,201.26385,270.1852,0.9974687099456788,56.821938,310.17947000000004,0.8492473363876343,265.70056,292.58282,0.10773703455924988,358.35294,283.68627999999995,0.9935818910598756,136.8293,274.60992000000005,0.5678830146789551,217.67577000000003,299.1348,2
434,0.20890772342681885,480.0,371.76083,0.9713891744613647,66.78604,344.4746,0.9636374711990356,200.02286,383.0476,0.9974687099456788,56.872612,328.59963999999997,0.9034420251846312,268.94116,356.70587,0.6517468690872192,415.5452,367.7989,0.9932581186294556,132.62302,372.87737999999996,0.8881651759147644,219.2577,364.89362,0.9974529147148132,66.45036999999999,317.7081,0.06760052591562271,480.0,278.59686,0.91440349817276,64.54299,294.0757,0.9696922898292542,202.17789,269.9684,0.9974687099456788,57.119724,307.32172,0.8507329225540161,262.60693,298.17145,0.5947352647781372,422.32443,281.47823999999997,0.990415334701538,139.50263999999999,274.6535,0.4827771186828613,219.13924,295.5047,2
435,0.2568917572498321,480.0,370.2859,0.9875083565711976,68.07668000000001,342.61343,0.9100422859191896,201.31195,377.53192,0.9974687099456788,56.631606999999995,325.69717,0.9519858360290528,273.17647999999997,352.7843,0.6021071076393127,420.20288,370.27267,0.9906800389289856,128.63412,371.35162,0.68849116563797,222.81755,343.6699,0.9974687099456788,65.23263,313.5402,0.1073833554983139,480.0,279.99643,0.8167468905448914,65.06464,291.7895,0.7771562933921814,211.56357000000003,269.81412,0.9974687099456788,56.204809999999995,303.9778,0.9036096930503844,265.66614,295.9607,0.4129051864147186,413.8817,278.6867,0.9852917194366456,148.9866,277.20908,0.3881234228610992,220.58421,296.0953,2
436,0.30500274896621704,480.0,371.99672999999996,0.9894689321517944,67.95483399999999,340.94973999999996,0.8458064198493958,209.32716000000002,362.8012,0.9974687099456788,56.609756000000004,323.53537,0.921431601047516,270.82352000000003,347.29413,0.5764898657798767,426.08356,370.7753,0.9913406968116759,127.77296399999999,367.25574,0.8399669528007507,224.5418,293.7609,0.9974687099456788,65.11609,311.51932,0.1767452359199524,480.0,279.76083,0.8045451641082764,65.065186,289.58905,0.8928675055503845,210.50383,268.8268,0.9974687099456788,55.7845,302.18204,0.92444908618927,270.55585,294.08072000000004,0.6923103332519531,417.9367,278.1067,0.9887274503707886,151.10374,279.76126,0.3901218771934509,222.17296000000002,284.22974,2
437,0.3674664199352264,480.0,371.02657999999997,0.9895742535591124,67.20755,335.79742000000005,0.9131566882133484,210.30022999999997,349.28412000000003,0.9974562525749208,56.291306000000006,318.92236,0.916085124015808,262.74814,346.42795,0.3046293556690216,419.2012,368.46792999999997,0.9839352369308472,125.73268,361.31528,0.6481471061706543,226.27159,281.54123,0.9974687099456788,64.50296999999999,306.89856000000003,0.1742670089006424,480.0,281.94174,0.8201192617416382,63.231007,285.6558,0.8743057847023009,214.74457999999998,267.73917,0.9974687099456788,54.188225,298.09775,0.9046356081962584,272.0,296.54900000000004,0.6690850853919983,417.5546,276.19003,0.9940728545188904,148.72382,280.5039,0.24388423562049866,227.25912000000002,292.6413,2
438,0.298750102519989,480.0,369.26297,0.9958053827285768,68.67205,330.98467999999997,0.5275042653083801,209.48946,349.42602999999997,0.9974687099456788,55.425938,310.45782,0.7721511125564575,250.03207,344.11782999999997,0.2116321623325348,410.47182999999995,361.0368,0.994731307029724,125.67375,353.48627,0.4849046468734741,231.44077000000001,307.9989,0.9974671602249146,63.951446999999995,298.00275,0.19277074933052066,480.0,281.56775,0.7637556195259094,64.35015,279.3929,0.7520613670349121,219.0315,262.81915,0.9974687099456788,54.71289,290.27432000000005,0.9529137015342712,273.17647999999997,284.86273,0.6764865517616272,420.12765999999993,272.43307000000004,0.9933606386184692,148.26923,271.81917999999996,0.4009962677955627,224.47797999999997,284.0855,2
