right ear latitude,right ear longitude,right ear accuracy score,right hip latitude,right hip longitude,right hip accuracy score,right eye latitude,right eye longitude,right eye accuracy score,left hip latitude,left hip longitude,left hip accuracy score,left wrist latitude,left wrist longitude,left wrist accuracy score,right knee latitude,right knee longitude,right knee accuracy score,nose latitude,nose longitude,nose accuracy score,left eye latitude,left eye longitude,left eye accuracy score,left ankle latitude,left ankle longitude,left ankle accuracy score,right elbow latitude,right elbow longitude,right elbow accuracy score,left knee latitude,left knee longitude,left knee accuracy score,right wrist latitude,right wrist longitude,right wrist accuracy score,right ankle latitude,right ankle longitude,right ankle accuracy score,right shoulder latitude,right shoulder longitude,right shoulder accuracy score,left shoulder latitude,left shoulder longitude,left shoulder accuracy score,left elbow latitude,left elbow longitude,left elbow accuracy score,left ear latitude,left ear longitude,left ear accuracy score
462.39737,464.21072,0.06365087628364563,480.0,477.05554,0.011605442501604557,458.95978,466.84247,0.575141429901123,478.17896,596.8895,0.0024152626283466816,480.0,478.4,0.036594051867723465,480.0,460.82315,0.007795536424964666,464.29163,468.25284,0.8764452934265137,460.14233,475.28812,0.9512701034545898,480.0,602.3345,0.0029483120888471603,480.0,437.51025,0.01622178591787815,468.34705,606.3793,0.002452998887747526,480.0,432.07794,0.029692785814404488,480.0,483.20233,0.0024152614641934633,478.90195,470.19608,0.18087272346019745,480.0,498.30823,0.30128276348114014,480.0,502.13474,0.026013072580099106,464.37637,485.14557,0.8482270836830139
461.33496,464.06772,0.09785053879022598,480.0,503.60263,0.004846407566219568,458.1678,467.29367,0.69278484582901,480.0,591.7458,0.0024152614641934633,480.0,478.35898,0.04008405655622482,480.0,521.6227,0.0024152614641934633,463.1036,469.20517,0.9048253893852234,459.4434,475.8338,0.9538814425468445,472.0212,625.89746,0.003961700014770031,480.0,438.29904,0.019619170576334,454.8823,640.0,0.002480744617059827,480.0,438.99185,0.024204857647418976,480.0,548.8356,0.0032749571837484837,478.5098,468.62744,0.19626305997371674,480.0,498.66818,0.3133813440799713,480.0,502.1682,0.022877007722854614,463.95663,484.43307,0.8309986591339111
462.0463,464.16614,0.06663960963487625,480.0,475.13348,0.009312317706644535,459.0292,466.51187,0.5479148626327515,480.0,586.81805,0.0024152605328708887,480.0,478.6666,0.031808607280254364,480.0,477.84964,0.006284408736974001,464.20148,467.88773,0.8629944324493408,459.70026,474.75067,0.9466788172721863,480.0,599.9944,0.0024152614641934633,480.0,438.606,0.013914902694523335,476.39066,603.6681,0.002616677898913622,480.0,446.16483,0.01408515777438879,480.0,428.38132,0.0024152614641934633,478.90195,472.15686,0.17986901104450226,480.0,499.12796,0.3087388873100281,480.0,504.30667,0.023947618901729584,463.66086,484.45874,0.8416385650634766
461.27206,464.48758,0.058119263499975204,480.0,482.04614,0.009641498327255249,458.33932,466.69543,0.5768910646438599,479.1969,582.5982,0.0024152614641934633,480.0,477.83783,0.03266514092683792,480.0,454.81207,0.006586095783859491,463.43823,467.8092,0.8748217225074768,458.90436,474.81503,0.9563114047050476,480.0,600.1999,0.0025283752474933863,480.0,440.2665,0.013217117637395859,480.0,597.87256,0.002640429651364684,480.0,444.37018,0.014975229278206825,480.0,445.9025,0.0024152614641934633,478.5098,469.80392,0.19265516102313995,480.0,499.31195,0.35053151845932007,480.0,504.70798,0.02580019272863865,463.35413,484.9334,0.8816981315612793
462.39365,464.63242,0.08794296532869339,480.0,486.32275,0.008190206252038479,458.6114,466.8808,0.5930547118186951,480.0,585.5182,0.0024152614641934633,480.0,478.73685,0.04156353324651718,480.0,492.96313,0.002990968292579055,463.87924,468.24176,0.8688473105430603,459.54773,475.26935,0.9487466216087341,480.0,600.46436,0.0024152614641934633,480.0,438.81543,0.013195225037634373,480.0,598.41693,0.0024152614641934633,480.0,449.33582,0.014946257695555687,480.0,544.98395,0.002524045994505286,478.90195,469.80392,0.20019543170928955,480.0,499.31018,0.3251475691795349,480.0,503.66403,0.028301170095801353,464.29288,484.695,0.8549115657806396
461.59814,464.11823,0.04573746398091316,480.0,472.78995,0.013003961183130741,457.9656,466.30768,0.48010799288749695,480.0,535.49365,0.00926752295345068,480.0,477.94873,0.03619213402271271,480.0,492.22107,0.003221913008019328,463.7987,467.30496,0.8253885507583618,458.4412,474.40598,0.9404659271240234,480.0,568.75073,0.004191261716187,480.0,444.00845,0.008451035246253014,475.554,555.3729,0.002596308244392276,480.0,461.5198,0.011764619499444962,480.0,536.25714,0.0031525481026619673,478.5098,473.7255,0.17583346366882324,480.0,501.3875,0.3266970217227936,480.0,505.04294,0.024097302928566933,462.873,485.957,0.8764604926109314
461.95172,463.77112,0.039418283849954605,480.0,469.851,0.01235773041844368,458.6187,466.49368,0.4254068434238434,480.0,497.17746,0.014465155079960823,480.0,478.31577,0.02876225858926773,480.0,499.11096,0.0024152605328708887,464.39893,467.50992,0.7844530344009399,459.56146,474.6368,0.9074308276176453,443.83084,559.24335,0.0031252200715243816,480.0,445.0619,0.005207850597798824,467.52084,549.8118,0.0025100482162088156,480.0,411.72363,0.0024152626283466816,480.0,544.8779,0.0069336192682385445,478.5098,474.90195,0.14549677073955536,480.0,503.11322,0.26003575325012207,480.0,501.63348,0.0231540035456419,463.15027,486.4567,0.7801447510719299
166.04076,301.19223,0.9934875965118408,343.55725,293.007,0.6837121248245239,163.21568,318.82352,0.9974687099456787,339.90918,356.8108,0.87308269739151,142.85698,436.01843,0.6330658793449402,462.18143,292.83286,0.7212890386581421,173.48523,326.3257,0.9974687099456787,166.8,336.0,0.9974687099456787,480.0,378.22107,0.2878369092941284,192.06966,228.369,0.49338164925575256,461.73288,372.19382,0.4511677026748657,116.26825,217.88063,0.48675674200057983,480.0,293.33243,0.1285715401172638,213.1121,277.00784,0.9901434183120728,220.43918,360.42215,0.836399257183075,198.15282,417.64377,0.8523471355438232,173.40417,344.1256,0.8352237939834595
166.47606,303.83838,0.991621732711792,345.7732,295.95422,0.7742328643798828,164.0,321.56863,0.9974452257156372,339.48276,358.1733,0.9124379754066467,139.60233,439.5152,0.6065762042999268,461.86655,295.53955,0.7286173701286316,173.86783,329.59265,0.9974431991577148,166.80934,338.93896,0.997412383556366,480.0,379.36835,0.3185654282569885,185.6925,232.33044,0.566629946231842,464.06226,373.11273,0.49010780453681946,116.28512,221.8923,0.5289689898490906,480.0,294.30206,0.11016764491796494,211.2846,280.06998,0.990613579750061,220.29599,360.89578,0.7947320938110352,196.73068,422.44412,0.8486168384552002,173.74593,346.88354,0.8044447898864746
461.72083,463.03247,0.054985400289297104,480.0,463.09006,0.01584530808031559,458.38535,465.79022,0.4103657603263855,480.0,501.56595,0.017452113330364227,480.0,478.31577,0.027609100565314293,480.0,532.0356,0.002686823718249798,462.90195,467.92157,0.7791313529014587,459.51108,474.73685,0.8891752362251282,480.0,600.97516,0.0032898772042244673,480.0,450.66586,0.009684574790298939,480.0,527.5422,0.0024152614641934633,480.0,462.58878,0.009917733259499073,480.0,560.2282,0.004503708798438311,480.0,455.48608,0.13653607666492462,480.0,502.64575,0.2501997947692871,480.0,501.7614,0.027968816459178925,463.89767,486.70123,0.7670824527740479
461.95035,464.13666,0.033625464886426926,479.53833,380.97357,0.004453287925571203,458.05206,466.44373,0.3902619779109955,480.0,499.59225,0.01615116000175476,480.0,478.11728,0.027804533019661903,465.5719,305.54166,0.49301934242248535,464.08344,467.40488,0.7886970639228821,458.73535,474.55743,0.8999524712562561,480.0,560.5701,0.0057584140449762344,480.0,451.68164,0.007562049198895693,478.90714,552.92566,0.003266436979174614,480.0,468.30634,0.0139410849660635,480.0,303.17947,0.1450759321451187,479.68628,476.86273,0.14390775561332703,480.0,503.83585,0.31560224294662476,480.0,504.71072,0.022476939484477043,463.04718,487.50198,0.8155099749565125
