right knee latitude,right knee longitude,right knee accuracy score,nose latitude,nose longitude,nose accuracy score,right ear latitude,right ear longitude,right ear accuracy score,right elbow latitude,right elbow longitude,right elbow accuracy score,right ankle latitude,right ankle longitude,right ankle accuracy score,right eye latitude,right eye longitude,right eye accuracy score,left shoulder latitude,left shoulder longitude,left shoulder accuracy score,left eye latitude,left eye longitude,left eye accuracy score,right shoulder latitude,right shoulder longitude,right shoulder accuracy score,left ear latitude,left ear longitude,left ear accuracy score,left wrist latitude,left wrist longitude,left wrist accuracy score,left elbow latitude,left elbow longitude,left elbow accuracy score,left ankle latitude,left ankle longitude,left ankle accuracy score,right wrist latitude,right wrist longitude,right wrist accuracy score,right hip latitude,right hip longitude,right hip accuracy score,left hip latitude,left hip longitude,left hip accuracy score,left knee latitude,left knee longitude,left knee accuracy score
480.0,489.42337,0.004928217735141516,463.27798,469.188,0.8690534830093384,460.3862,463.18896,0.08525095134973526,480.0,453.1873,0.018096687272191048,480.0,491.74393,0.0027025085873901844,458.33005,467.30075,0.6296225786209106,480.0,501.28232,0.4073043763637543,459.2113,475.33655,0.9155772924423218,477.7255,476.07843,0.2026442289352417,462.13358,485.85092,0.7738741040229797,480.0,481.535,0.06371146440505981,480.0,505.65488,0.042733024805784225,480.0,600.852,0.0024152614641934633,480.0,473.24414,0.027323618531227112,480.0,474.03262,0.016217615455389023,480.0,562.3496,0.004317626357078552,480.0,587.6148,0.0024152614641934633
480.0,488.21463,0.005617148242890835,463.85437,469.1907,0.7858685851097107,460.94882,463.36774,0.06755086779594421,480.0,454.20715,0.017652729526162148,480.0,485.94403,0.003243782790377736,458.42917,467.58694,0.5079943537712097,480.0,499.5826,0.3010825216770172,459.43283,475.12787,0.8460674285888672,478.90195,476.07843,0.175727978348732,462.54498,485.63617,0.6624407768249512,480.0,479.66104,0.053738389164209366,480.0,502.53882,0.03519986569881439,480.0,600.94904,0.0024152614641934633,480.0,474.1228,0.027494413778185844,480.0,474.1673,0.014568716287612915,480.0,584.84143,0.0033051385544240475,480.0,585.4532,0.0027744844555854797
480.0,584.12726,0.0024152614641934633,463.69254,468.57675,0.8826682567596436,460.67365,463.3153,0.05768197402358055,480.0,478.33075,0.060861729085445404,480.0,599.9751,0.0024152614641934633,458.39105,467.1626,0.5485504865646362,480.0,501.29315,0.480549693107605,458.82352,471.7647,0.9280267953872681,480.0,460.62674,0.16589316725730896,461.76758,486.0751,0.830048680305481,480.0,477.48074,0.0529191792011261,480.0,503.96762,0.050232380628585815,480.0,602.132,0.0024152614641934633,480.0,473.1129,0.02883419767022133,480.0,555.7086,0.005798324942588806,480.0,556.0119,0.0034318503458052874,480.0,587.2049,0.0024152605328708887
480.0,488.35757,0.0050577400252223015,463.6996,468.7208,0.8456355333328247,460.96225,463.27148,0.06926681101322174,480.0,454.84393,0.020372863858938217,480.0,485.2532,0.0029181574936956167,458.42264,467.1545,0.5360186100006104,480.0,501.58768,0.4397869408130646,459.32928,474.89572,0.9044041633605957,478.90195,475.68628,0.18286152184009552,462.18246,485.71426,0.7799025177955627,480.0,478.15836,0.05166877806186676,480.0,503.69894,0.045679789036512375,480.0,601.47186,0.002558102598413825,480.0,472.89935,0.026406560093164444,480.0,473.06345,0.014830526895821095,480.0,554.2427,0.0048707933165133,480.0,585.39343,0.002696721348911524
480.0,488.62473,0.005373296793550253,463.70184,469.19397,0.8162175416946411,460.96207,463.28497,0.06500282138586044,480.0,454.37704,0.019700145348906517,480.0,489.0374,0.002962521743029356,458.42355,467.21124,0.49618250131607056,480.0,501.12418,0.42663872241973877,459.27896,475.03406,0.8679423332214355,479.29413,476.07843,0.18827779591083527,462.4608,486.29074,0.7196502685546875,480.0,479.48575,0.060234181582927704,480.0,503.91574,0.04606308043003082,480.0,629.556,0.0029026512056589127,480.0,472.97095,0.028865531086921692,480.0,473.99023,0.01668086275458336,480.0,559.83954,0.003538696561008692,480.0,594.64874,0.0027164097409695387
480.0,482.0828,0.007559162098914385,463.82922,468.717,0.7980445623397827,461.48233,463.43124,0.04982687160372734,480.0,454.13773,0.014720809645950794,480.0,474.49832,0.0024152614641934633,458.99527,467.2421,0.46802589297294617,480.0,502.16223,0.39826032519340515,459.52408,475.03217,0.8894135355949402,479.68628,474.5098,0.15089966356754303,462.69693,486.13605,0.7696734070777893,480.0,481.3036,0.04733573645353317,480.0,508.08322,0.037707652896642685,480.0,508.04434,0.0024152605328708887,480.0,472.978,0.019375571981072426,480.0,474.67117,0.012414579279720783,480.0,531.09735,0.009940523654222488,480.0,545.4045,0.0026970701292157173
480.0,487.38083,0.006304230075329542,463.68713,468.42044,0.796748697757721,460.54962,463.34317,0.053949933499097824,480.0,456.6109,0.022725412622094154,480.0,483.0503,0.003667510114610195,458.04773,466.9274,0.42301562428474426,480.0,503.04712,0.43400299549102783,459.19653,474.50793,0.8852907419204712,479.29413,475.68628,0.19159629940986633,462.34143,486.31836,0.7793835401535034,480.0,481.23456,0.057018864899873734,480.0,508.1871,0.037440225481987,480.0,499.1065,0.0024373773485422134,480.0,474.61423,0.031140584498643875,480.0,474.02374,0.01884685456752777,480.0,505.6373,0.023493027314543724,480.0,517.83575,0.00254256185144186
480.0,488.37863,0.005642724223434925,463.67673,468.39108,0.8185238242149353,460.66354,463.353,0.05596635490655899,480.0,453.37674,0.022691966965794563,480.0,484.13177,0.003420765744522214,458.2253,466.8586,0.4371733069419861,480.0,503.45813,0.40322840213775635,459.0415,474.71393,0.8899164795875549,478.5098,477.2549,0.22025781869888306,462.35492,486.0902,0.7784072160720825,480.0,479.19232,0.05855916067957878,480.0,504.93234,0.049915507435798645,480.0,524.824,0.0024606967344880104,480.0,473.21814,0.03276326507329941,480.0,472.33643,0.017764216288924217,480.0,502.49234,0.023076113313436508,480.0,521.36475,0.0024152614641934633
480.0,481.0094,0.012766150757670403,463.287,469.3548,0.8670367002487183,460.65182,463.3788,0.07106266915798187,480.0,454.92087,0.02141876332461834,480.0,472.99292,0.0030624237842857838,458.10052,467.3478,0.5533390641212463,480.0,502.63904,0.41947683691978455,459.21353,475.51212,0.9081834554672241,478.11765,474.90195,0.19966138899326324,462.30765,486.1799,0.7900399565696716,480.0,482.94464,0.054394256323575974,480.0,507.4709,0.04741746187210083,480.0,499.57907,0.0024152614641934633,480.0,473.8885,0.029348978772759438,480.0,477.15604,0.01992974802851677,480.0,506.65503,0.02371499314904213,480.0,517.29004,0.0025303794536739588
480.0,477.61584,0.01288845669478178,463.29874,469.34326,0.8950674533843994,460.37732,463.33035,0.0932139903306961,480.0,448.62408,0.015440578572452068,480.0,470.2676,0.0029027548152953386,458.36313,467.36108,0.6357414722442627,480.0,501.76184,0.47037819027900696,459.3668,475.41052,0.9312776327133179,478.11765,473.7255,0.21917517483234406,462.75082,485.4485,0.817099392414093,480.0,480.9769,0.0745445117354393,480.0,505.4257,0.05558711662888527,480.0,489.32935,0.0024152614641934633,480.0,471.0602,0.026742301881313324,480.0,475.96954,0.01882329024374485,480.0,515.036,0.017602328211069107,480.0,515.41876,0.0024152614641934633
